text,label
Benefits of Going Green As A Business â€“ Get Certified!  http://t.co/3aDOHNrmJc,bot
"Sarah: ""have you ever met a good-looking person who was socially awkward? no, because they don't exist"" #bbcan3 http://t.co/xPsw6Arxoq",human
Finna doctor all this,bot
Check Out this Overview of Major Web Conferencing Services  http://t.co/0Fy28Vw2of,bot
this right here is why you guys should have voted pantry in that one vote - so much staff in &amp; out of there all the time,human
Why aren't you the same person you were a few weeks ago:/,human
@FlatironD HI,bot
Mommy :) http://t.co/AYejfjWOij,human
SOS someone come kidnap me from act prep ASAP,human
SISYPHUSÃ¢â‚¬â„¢ LAMENT: My father never buys Ã¢â‚¬ËœyayaÃ¢â‚¬â„¢ meals http://t.co/hyZwzlf1Kx | @oscarfbtan @Inq_Opinion #yayameals http://t.co/tJaxx01yOG,human
RT @BEAUTIFULPlCS: NYC where the city meets Central Park. http://t.co/2BMUjosHwZ,bot
"Cloud Security Architect: Cloud Security Architect  VITA64528951 *Chester, VA* This position reviews proposed changes &amp; projects associated with cloud and hosting services used by VITA and the executive branchâ€¦ https://t.co/vhWvR8Wkjv ðŸ‘ˆ#IT #job #hiring  #IT #techjob #ITJob https://t.co/jWHb953FO7",bot
I need to make a new mix tape for my car,human
Leadership bro make weed legal at school,human
"@GangstaPhil ""It isn't the mountain ahead that wears you out; it's the grain of sand in your shoe."" - Author Unknown",bot
"RT @Talnts: ""Don't wish it were easier. Wish you were better."" - Jim Rohn",bot
Maui is very fuji film like.,human
It's so cold that the stop light to Milton Wilson is out. But no worries school is still open @SCSK12Unified,human
"Picard management tip: Finish what you stand up, straighten your words thoughtfully. Don't scoff at single-tasking.",bot
Respect @aa000G9. #FirstTeam https://t.co/2sl4rPyXrl,human
"@hyuki ""A man must make his opportunity, as oft as find it."" - Francis Bacon",bot
"So I rode a lift with this Swedish girl (hot) and then saw her like 7 times the rest of the day, so you could pretty much say she wanted me",human
RT @BuildingABridge: &gt; @willi__mac walked with walker this week! First time to walk freely in a year! Yay! http://t.co/8cUwOk5MJQ # Los AngÃ¢â‚¬Â¦,bot
A lion doesn't lose sleep over the opinions of sheep,human
"#NPHChallenge you have seen these photos a million times, sure, but I didn't know some",human
"RT @IMITAKCO: By 2020, the number of #internet connected things will reach or exeed 50 billion !  #IoT #IIoT #IoE #fintech #Insurtech #wearâ€¦",bot
"@daydreamingacm ""The greatest danger in times of turbulence is not the turbulence; it is to act with yesterday's logic."" - Peter Drucker",bot
Why are nba teams starting to wear short sleeve jerseys?!??? They look so stupid,human
"@BON_COMICS ""What you do speaks so loud that I cannot hear what you say."" - Ralph Waldo Emerson",bot
"Success is to be measured not by wealth, power, or fame, but by the ratio between what a man is and what he might be. -H.G. Wells",bot
Cleaned and colored :D (added some freckles because I can) http://t.co/vCivcYoiLT,human
Picard management tip: Try to bow to laugh at single-tasking.,bot
The first and the best victory is to conquer self. - Plato,bot
"@emnkygn ""I can't go back to yesterday - because I was a different person then."" - Lewis Carroll",bot
@tarans01 New FX forecast @ http://twitter.com/daniel_bruno please follow my business partner and we will follow you!,bot
"has anyone else experienced the awkward ""oh no he/she favoritedi must favorite one of their tweets nowhelp""",human
"""i'm gonna tie my shoe real quick don't watch"" ok me too jacob thx @JacobWhitesides http://t.co/BrthIdbRc4",human
El Gamma Penumbra advances to Ã¢â‚¬ËœAsiaÃ¢â‚¬â„¢s Got TalentÃ¢â‚¬â„¢ grand finals http://t.co/wsbcLOoDWS | @AMendozaINQ http://t.co/xvUdMkZj2P,human
Exchange blows trailers ??Ã¯Â¿Â½ conduct ready-prepared twin in virtue of highlighting all creation anent yours nee...,bot
"@Dizzy_Psychic ""...W-Well at least you paid for it..""",bot
@myTraderGang nice,bot
Yankees are smart to cut payroll from the bullpen. Lots of big arms in system that are close to the majors.,human
#Afghanistan president @ashrafghani meets schools pupils in #China #AfghanChinaRelations http://t.co/3K8jlA84EQ,human
"It would be great to be around when historians discover how furiously our society debated the question of ""can a woman fight a ghost""",human
"""The man who moves a mountain begins by carrying away small stones."" - Confucius",bot
"Meryl Streep is quoting Joan Didion on the nature of grief, chug your beer.",human
RT @CrixGreen: Back on my mission,bot
Coloring coloring~~ http://t.co/1FXlhfzRI1,human
"Senior Software Engineer, Platform Team: We have an immediate opening for a Senior Software Engineer with strong technical and communication skills, a passion for learning and building high-quality software, and the ability to work well both within aâ€¦ https://t.co/ZTU7y2ihmC https://t.co/GZZeUNOe3x",bot
i have to do adult things this weekend and i have no idea where to start like where do i buy one of those bags to travel with my suit?,human
@_redsWorld hey,bot
"""...No one? That's kinda boring.. I wish I had something to do..""A 3DS poofs into Tom's hands.""What's this..?""",bot
PLEASE SHARE: Hyattsville Police are looking for a missing boy who has a medical condition. http://t.co/hy9HuAArud http://t.co/B5FCTYQoBf,human
Nice work Jerry @dallascowboys getting some recognition,human
"Picard management tip: Run crisis tip: ""That's the crew's desire to try.",bot
"RT @Talnts: ""A person often meets his destiny on the road he took to avoid it."" - Jean de La Fontaine",bot
"btw, nobody calls hanging out with friends 1-on-1 friend-dates, haha. We donÃ¢â‚¬â„¢t call them anything xD",human
"@actor_viishnu ""The wisest men follow their own direction."" - Euripides",bot
READ THIS PLEASE-----&gt; Orioles COO John Angelos offers eye-opening perspective on Baltimore protests http://t.co/VB1RQTUt1c via @forthewin,human
WATCH: It wasn't enough that a fan caught a foul ball in her cup --&gt; http://t.co/aa4EcrqQvJ http://t.co/VduPO0QrLx,human
"@JMoneyMakk ""Anything's possible if you've got enough nerve."" - J.K. Rowling",bot
Mozilla Rolls Out Recovery Key Option For Firefox Accounts https://t.co/W2GRb78Vzj,bot
i've been here for 11 hours http://t.co/Wcgc1Sf79i,human
"Ma walked in the living room, looked at me, smiled and farted then walked out. Ã®â€žâ€¡Ã®ÂÅ’Ã®Ââ€™",human
Successful people are successful because they form the habits of doing those things that failures don't like to do. -Albert Gray,bot
me when a cute boy passes by http://t.co/UPq1lH3iC5,human
Can't wait till i get my license...,human
"@Blakedog ""I've experienced many terrible things in my life, a few of which actually happened."" - Mark Twain",bot
I really love Twitter. And Wichita. And all of you: @DowntownWichita @tynigh @chadsmith @tylerstalder @rico_w @fitWichita @krawson,human
@Dev_Fresh marketing for an insurance company. Involves commission,human
"@denniib ""In the midst of winter, I found there was, within me, an invincible summer."" - Albert Camus",bot
"Welp, Ed Davis doesn't follow me anymore. Ã‚Â¯\_(Ã£Æ’â€ž)_/Ã‚Â¯",human
RT @carlyraejepsen: Tweet #NerdyGirlzTheParisWife so I know you want one!,bot
@esssrrraaaa @fromabaddream haha don't act like you were being respectful. Lets be honest,human
But what does this even mean?,bot
"In Case You Missed It: LGBT Pride at the White House:  Yesterday, for the sixth time since taking office, Pres... http://t.co/z4XWT8ogWL",bot
Oh am I suppose to be studying this weekend? whoops....,human
